시도명	시군구명	납부필증사용대상	납부필증유형	관리부서명	관리부서전화번호	데이터기준일자	제공기관코드	제공기관명
전라북도	남원시	단독주택	납부필증	환경과	063-620-6243	2019-06-10	4700000	전라북도 남원시
전라북도	남원시	공동주택	납부필증	환경과	063-620-6243	2019-06-10	4700000	전라북도 남원시
전라북도	남원시	사업장용	납부필증	환경과	063-620-6243	2019-06-10	4700000	전라북도 남원시
전라북도	남원시	기타	납부필증	환경과	063-620-6243	2019-06-10	4700000	전라북도 남원시
경상남도	거제시	단독주택	납부필증	자원순환과	055-639-4836	2019-07-25	5370000	경상남도 거제시
경상남도	거제시	공동주택	납부필증	자원순환과	055-639-4836	2019-07-25	5370000	경상남도 거제시
경상남도	거제시	사업장용	납부필증	자원순환과	055-639-4836	2019-07-25	5370000	경상남도 거제시
강원도	동해시청	단독주택	납부필증	환경과	033-530-2153	2019-04-30	4210000	강원도 동해시
경상남도	합천군	공동주택/음식점	납부필증	환경위생과	055-930-3304	2019-06-19	5480000	경상남도 합천군
충청남도	홍성군	사업장용	기타	환경과	041-630-1338	2019-09-18	4600000	충청남도 홍성군
충청남도	홍성군	사업장용	기타	환경과	041-630-1338	2019-09-18	4600000	충청남도 홍성군
전라남도	구례군	단독주택/공동주택/사업장용/기타	전용용기	환경교통과	061-780-2143	2019-06-26	4870000	전라남도 구례군
강원도	태백시	단독주택	납부필증	환경보호과	033-550-2063	2019-06-19	4220000	강원도 태백시
강원도	태백시	사업장용	납부필증	환경보호과	033-550-2603	2019-06-19	4220000	강원도 태백시
서울특별시	중랑구	사업장용	납부필증	청소행정과	02-2094-1930	2019-06-10	3060000	서울특별시 중랑구
서울특별시	중랑구	공동주택	납부필증	청소행정과	02-2094-1930	2019-06-10	3060000	서울특별시 중랑구
대구광역시	중구	단독주택	납부필증	환경자원과	053-661-2726	2019-06-18	3410000	대구광역시 중구
경상남도	양산시	단독주택	납부필증	자원순환과	055-392-2643	2019-06-26	5380000	경상남도 양산시
경상남도	양산시	사업장용	납부필증	자원순환과	055-392-2643	2019-06-26	5380000	경상남도 양산시
경상남도	양산시	공동주택	납부필증	자원순환과	055-392-2643	2019-06-26	5380000	경상남도 양산시
전라남도	담양군	단독주택	납부필증	생태환경과	061-380-3076	2019-05-23	4850000	전라남도 담양군
